,MAS_S,MAS_O,MAS_D,MAS_M,PD,METACOG
17641,6.5,4.0,3.0,5.0,6.0,18.5
17642,8.0,5.0,2.5,7.0,19.0,22.5
17643,6.0,4.5,2.5,5.0,24.0,18.0
17644,7.5,5.5,2.5,8.0,11.0,23.5
17645,6.5,5.0,3.0,5.5,5.0,20.0
17646,5.5,4.0,1.5,5.5,5.0,16.5
17647,7.5,4.0,2.5,6.0,10.0,20.0
17648,6.0,6.0,3.0,6.5,11.0,21.5
17649,7.0,6.0,2.0,7.5,3.0,22.5
17650,7.0,4.0,1.5,5.0,14.0,17.5
17651,8.0,4.0,1.5,7.0,22.0,20.5
17652,8.0,4.0,2.5,4.5,3.0,19.0
17653,5.5,5.5,1.5,6.5,7.0,19.0
17654,6.0,5.5,2.5,5.0,11.0,19.0
17655,8.0,5.5,3.0,6.5,22.0,23.0
17656,5.5,4.0,1.5,7.0,14.0,18.0
17657,5.5,4.0,3.0,4.5,21.0,17.0
17658,7.5,5.5,3.0,8.0,0.0,24.0
17659,6.5,5.0,1.5,6.0,5.0,19.0
17660,5.5,6.0,2.0,7.0,8.0,20.5
17661,8.0,6.0,2.5,6.5,5.0,23.0
17662,5.5,5.0,3.0,4.5,6.0,18.0
17663,6.0,5.0,2.5,6.0,15.0,19.5
17664,6.5,6.0,3.0,6.5,13.0,22.0
17665,6.5,6.0,2.0,6.5,22.0,21.0
17666,5.5,4.5,1.5,4.5,9.0,16.0
17667,5.5,4.5,1.5,5.5,14.0,17.0
17668,7.0,4.5,2.0,8.0,3.0,21.5
17669,6.0,5.5,2.5,4.5,4.0,18.5
17670,6.0,5.0,2.0,6.0,15.0,19.0
17671,5.5,5.0,2.5,7.0,21.0,20.0
17672,5.5,6.0,2.0,5.0,9.0,18.5
17673,6.0,4.0,2.0,7.0,4.0,19.0
17674,5.5,6.0,2.5,8.0,24.0,22.0
17675,7.5,6.0,2.0,8.0,6.0,23.5
17676,6.5,4.0,2.5,5.0,14.0,18.0
17677,5.5,5.0,2.5,8.0,14.0,21.0
17678,7.5,6.0,1.5,7.0,10.0,22.0
17679,7.5,5.5,2.5,4.5,9.0,20.0
17680,7.5,5.0,1.5,6.0,14.0,20.0
17681,6.0,4.0,1.5,7.0,27.0,18.5
17682,5.5,4.5,3.0,8.0,15.0,21.0
17683,7.0,4.5,1.5,4.5,24.0,17.5
17684,6.5,4.0,3.0,5.0,3.0,18.5
17685,6.5,4.0,3.0,8.0,6.0,21.5
17686,7.0,6.0,1.5,7.5,9.0,22.0
17687,5.5,6.0,2.0,6.0,12.0,19.5
17688,6.5,5.0,1.5,6.0,26.0,19.0
17689,5.5,4.0,2.5,6.5,17.0,18.5
17690,6.5,6.0,3.0,6.5,20.0,22.0
17691,7.5,4.5,2.5,7.0,11.0,21.5
17692,6.5,4.5,3.0,7.0,1.0,21.0
17693,7.0,5.5,2.0,6.5,24.0,21.0
17694,8.0,4.0,2.5,5.0,0.0,19.5
17695,7.0,4.5,2.0,6.5,9.0,20.0
17696,7.5,4.5,1.5,8.0,21.0,21.5
17697,6.0,6.0,2.0,5.5,18.0,19.5
17698,6.5,6.0,3.0,5.0,19.0,20.5
17699,6.5,5.5,2.5,6.0,5.0,20.5
17700,7.0,5.0,2.5,7.5,23.0,22.0
17701,6.5,5.5,1.5,6.0,20.0,19.5
17702,6.0,5.5,3.0,6.5,23.0,21.0
17703,7.0,4.0,3.0,6.5,19.0,20.5
17704,8.0,4.5,2.0,5.5,9.0,20.0
17705,7.0,4.5,2.0,7.0,26.0,20.5
17706,6.0,5.0,3.0,8.0,11.0,22.0
17707,8.0,6.0,2.5,7.5,2.0,24.0
17708,5.5,5.5,3.0,8.0,13.0,22.0
17709,6.5,4.0,1.5,6.5,6.0,18.5
17710,7.5,5.5,1.5,6.0,16.0,20.5
17711,6.0,4.0,2.5,4.5,15.0,17.0
17712,5.5,6.0,1.5,6.5,13.0,19.5
17713,6.0,4.0,2.0,8.0,24.0,20.0
17714,7.0,4.5,2.5,5.0,6.0,19.0
17715,6.0,4.5,1.5,5.5,0.0,17.5
17716,8.0,4.0,3.0,5.5,20.0,20.5
17717,5.5,6.0,3.0,5.5,24.0,20.0
17718,6.5,5.5,1.5,8.0,26.0,21.5
17719,7.0,4.5,1.5,7.5,26.0,20.5
17720,5.5,5.0,1.5,7.0,7.0,19.0
17721,6.5,5.0,1.5,5.0,3.0,18.0
17722,6.0,4.0,3.0,7.0,10.0,20.0
17723,7.0,4.0,2.5,5.0,27.0,18.5
17724,6.5,4.5,1.5,8.0,19.0,20.5
17725,7.0,6.0,2.5,7.5,3.0,23.0
17726,6.0,5.0,2.0,7.0,24.0,20.0
17727,7.0,6.0,3.0,8.0,3.0,24.0
17728,7.5,4.0,2.0,7.5,5.0,21.0
17729,6.5,4.5,2.0,6.5,9.0,19.5
17730,6.0,5.5,2.5,4.5,8.0,18.5
17731,5.5,5.5,2.0,4.5,5.0,17.5
17732,6.5,5.0,2.0,7.0,18.0,20.5
17733,6.5,6.0,2.0,6.0,22.0,20.5
17734,7.5,4.5,2.5,6.5,18.0,21.0
17735,7.0,5.0,2.5,6.5,26.0,21.0
17736,6.0,5.5,1.5,5.5,9.0,18.5
17737,6.0,6.0,2.0,4.5,0.0,18.5
17738,5.5,4.0,1.5,7.5,17.0,18.5
17739,7.0,5.0,1.5,4.5,27.0,18.0
17740,7.5,6.0,2.0,8.0,4.0,23.5
17741,7.0,4.5,3.0,5.0,6.0,19.5
17742,7.5,6.0,2.5,5.5,15.0,21.5
17743,7.0,5.5,1.5,4.5,17.0,18.5
17744,6.0,5.0,3.0,6.0,18.0,20.0
17745,7.0,5.5,1.5,6.0,15.0,20.0
17746,7.0,4.5,2.0,5.0,7.0,18.5
17747,6.5,4.0,2.5,6.0,25.0,19.0
17748,6.0,4.0,1.5,8.0,27.0,19.5
17749,7.5,4.5,1.5,7.5,0.0,21.0
17750,8.0,5.5,3.0,4.5,12.0,21.0
17751,7.0,5.0,3.0,8.0,23.0,23.0
17752,8.0,6.0,2.5,6.5,6.0,23.0
17753,8.0,5.0,1.5,6.0,4.0,20.5
17754,8.0,5.0,1.5,6.0,20.0,20.5
17755,7.0,5.5,2.0,5.0,25.0,19.5
17756,7.5,4.5,2.5,6.5,25.0,21.0
17757,7.0,6.0,1.5,6.0,23.0,20.5
17758,6.0,6.0,2.0,6.0,9.0,20.0
17759,7.0,6.0,3.0,5.5,7.0,21.5
17760,7.0,5.0,2.5,8.0,24.0,22.5
17761,6.0,4.0,2.5,7.5,4.0,20.0
17762,7.0,4.5,2.5,8.0,16.0,22.0
17763,6.5,4.0,3.0,7.5,16.0,21.0
17764,6.0,4.0,2.0,4.5,14.0,16.5
17765,6.5,4.0,3.0,6.5,22.0,20.0
17766,8.0,4.5,2.5,7.5,8.0,22.5
17767,8.0,4.5,3.0,7.0,8.0,22.5
17769,5.5,6.0,2.0,5.5,20.0,19.0
17770,6.0,4.0,2.0,5.0,21.0,17.0
17771,7.5,5.0,1.5,6.5,22.0,20.5
17772,6.5,4.0,2.5,6.0,18.0,19.0
17773,5.5,4.0,1.5,5.5,22.0,16.5
17774,8.0,5.5,1.5,5.0,26.0,20.0
17775,7.0,6.0,2.0,5.0,0.0,20.0
17776,6.5,5.0,2.0,6.0,25.0,19.5
17777,7.5,5.5,2.0,7.5,25.0,22.5
17778,5.5,5.5,3.0,5.5,8.0,19.5
17779,6.0,4.0,1.5,5.0,15.0,16.5
17780,7.5,4.0,2.0,6.0,4.0,19.5
17781,7.5,4.0,1.5,7.5,20.0,20.5
17782,7.5,6.0,1.5,5.5,4.0,20.5
17783,8.0,4.0,3.0,4.5,23.0,19.5
17784,7.5,5.0,3.0,6.0,24.0,21.5
17785,6.0,5.5,1.5,7.0,26.0,20.0
17786,6.0,4.0,3.0,6.0,6.0,19.0
17787,6.5,4.0,2.5,8.0,1.0,21.0
17788,6.5,5.5,2.5,6.0,22.0,20.5
17789,7.0,4.0,2.5,6.0,24.0,19.5
17790,6.0,6.0,2.0,7.0,3.0,21.0
17791,6.0,5.0,1.5,8.0,18.0,20.5
17792,5.5,4.5,2.0,7.0,0.0,19.0
17793,8.0,5.0,2.5,5.0,16.0,20.5
17794,6.5,4.5,3.0,5.5,15.0,19.5
17795,6.0,5.5,2.0,6.5,19.0,20.0
17796,8.0,4.0,2.0,8.0,27.0,22.0
17797,6.5,4.0,3.0,4.5,5.0,18.0
17798,6.0,5.5,2.0,5.5,3.0,19.0
17799,7.5,4.5,2.0,7.0,24.0,21.0
17800,6.0,5.0,1.5,7.0,10.0,19.5
17801,5.5,4.5,3.0,6.5,6.0,19.5
17802,7.5,5.5,2.5,6.5,2.0,22.0
17803,5.5,4.5,3.0,6.5,16.0,19.5
17804,7.5,6.0,3.0,5.5,19.0,22.0
17805,6.0,4.0,2.0,5.5,19.0,17.5
17806,8.0,4.5,2.0,6.5,12.0,21.0
17807,5.5,6.0,2.5,7.5,13.0,21.5
17808,7.0,6.0,3.0,7.5,19.0,23.5
17809,5.5,4.0,2.5,6.0,17.0,18.0
17810,5.5,4.0,2.0,6.5,27.0,18.0
17811,6.0,4.0,3.0,4.5,23.0,17.5
17812,7.0,6.0,1.5,6.5,23.0,21.0
17813,5.5,6.0,2.0,6.0,26.0,19.5
17814,6.0,5.0,1.5,6.5,26.0,19.0
17815,5.5,6.0,2.5,5.5,27.0,19.5
17816,8.0,5.0,2.5,4.5,13.0,20.0
17817,6.5,4.0,2.5,6.5,20.0,19.5
17818,5.5,5.5,1.5,7.0,2.0,19.5
17819,6.0,5.5,2.0,6.5,24.0,20.0
17820,5.5,4.0,2.5,7.0,21.0,19.0
17821,7.0,4.0,2.5,6.5,17.0,20.0
17822,7.0,5.0,3.0,6.0,25.0,21.0
17823,7.0,4.5,3.0,8.0,13.0,22.5
17824,6.5,4.0,3.0,6.0,9.0,19.5
17825,7.5,4.0,1.5,8.0,17.0,21.0
17826,8.0,5.5,2.0,8.0,13.0,23.5
17827,7.0,4.0,1.5,7.5,26.0,20.0
17828,7.0,5.0,3.0,6.0,3.0,21.0
17829,6.0,5.0,2.5,7.5,5.0,21.0
17830,5.5,5.0,2.0,8.0,6.0,20.5
17831,7.5,6.0,2.0,4.5,10.0,20.0
17832,6.0,4.0,2.5,8.0,24.0,20.5
17833,5.5,6.0,3.0,4.5,12.0,19.0
17834,6.0,5.5,2.0,4.5,13.0,18.0
17835,6.0,5.0,3.0,7.5,0.0,21.5
17836,5.5,5.0,2.5,7.0,15.0,20.0
17837,7.5,4.5,1.5,6.5,23.0,20.0
17838,8.0,4.5,2.0,6.5,8.0,21.0
17839,5.5,5.0,3.0,6.5,0.0,20.0
17840,7.5,6.0,2.5,6.0,1.0,22.0
17841,7.5,6.0,2.0,4.5,13.0,20.0
17842,6.0,4.5,3.0,6.5,6.0,20.0
17843,8.0,4.0,1.5,5.5,8.0,19.0
17844,7.0,6.0,3.0,6.0,18.0,22.0
17845,5.5,4.5,3.0,7.5,26.0,20.5
17846,8.0,6.0,2.0,6.0,0.0,22.0
17847,7.0,5.5,3.0,6.5,2.0,22.0
17848,6.5,6.0,1.5,8.0,22.0,22.0
17849,6.0,5.5,1.5,5.5,10.0,18.5
17850,8.0,6.0,2.5,7.5,18.0,24.0
17851,6.0,4.0,3.0,4.5,21.0,17.5
17852,7.0,4.0,2.0,6.5,5.0,19.5
17853,6.5,5.5,3.0,8.0,9.0,23.0
17854,8.0,4.5,1.5,5.0,22.0,19.0
17855,8.0,5.0,3.0,6.5,25.0,22.5
17857,6.5,4.5,2.0,7.0,26.0,20.0
17858,6.5,5.0,3.0,4.5,18.0,19.0
17859,8.0,5.0,3.0,6.5,1.0,22.5
17860,6.5,4.5,2.5,6.0,26.0,19.5
17861,7.0,4.5,1.5,8.0,25.0,21.0
17862,6.5,4.5,1.5,6.0,12.0,18.5
17863,6.0,4.0,2.0,7.5,5.0,19.5
17864,7.5,4.5,2.5,6.5,5.0,21.0
17865,7.5,4.5,3.0,5.5,26.0,20.5
17866,8.0,6.0,2.5,5.0,8.0,21.5
17867,6.0,6.0,2.0,6.5,12.0,20.5
17868,6.5,6.0,2.5,7.5,13.0,22.5
17869,7.0,4.0,3.0,7.5,0.0,21.5
17870,7.0,5.5,3.0,7.0,27.0,22.5
17871,7.0,5.0,2.5,7.5,4.0,22.0
17872,6.5,4.5,3.0,6.0,4.0,20.0
17873,5.5,4.0,2.0,8.0,3.0,19.5
17874,5.5,5.0,1.5,8.0,18.0,20.0
17875,7.0,5.5,1.5,8.0,19.0,22.0
17876,6.0,6.0,2.0,5.5,24.0,19.5
17877,7.0,5.5,2.0,7.5,7.0,22.0
17878,6.0,5.5,2.5,4.5,19.0,18.5
17879,7.5,5.0,1.5,5.5,2.0,19.5
17880,6.0,6.0,3.0,6.5,19.0,21.5
17881,8.0,5.5,2.5,7.5,10.0,23.5
17882,6.0,5.0,2.5,4.5,27.0,18.0
17883,5.5,5.0,2.0,5.0,17.0,17.5
17884,5.5,4.0,2.5,7.5,5.0,19.5
17885,6.5,6.0,1.5,6.0,18.0,20.0
17886,7.5,5.0,2.5,5.0,12.0,20.0
17887,5.5,5.0,2.0,6.0,26.0,18.5
17888,6.5,4.0,3.0,8.0,26.0,21.5
17889,7.0,4.5,2.0,5.5,17.0,19.0
17890,6.5,5.5,2.0,8.0,4.0,22.0
17891,6.0,5.5,2.0,7.5,5.0,21.0
17892,5.5,5.5,2.0,5.5,4.0,18.5
17893,6.5,4.5,2.0,7.0,19.0,20.0
17894,8.0,5.5,2.0,8.0,3.0,23.5
17895,5.5,5.5,2.0,5.5,20.0,18.5
17896,8.0,5.5,1.5,8.0,7.0,23.0
17897,6.0,5.5,1.5,4.5,19.0,17.5
17898,6.0,6.0,1.5,4.5,25.0,18.0
17899,5.5,4.0,3.0,5.0,10.0,17.5
17900,7.5,6.0,2.5,6.0,24.0,22.0
17901,7.5,6.0,2.5,6.0,23.0,22.0
17902,6.5,5.5,3.0,8.0,16.0,23.0
17903,6.5,5.0,1.5,6.0,12.0,19.0
17904,6.5,5.5,1.5,6.5,17.0,20.0
17905,6.5,6.0,3.0,7.0,0.0,22.5
17906,7.5,6.0,1.5,6.0,10.0,21.0
17907,7.0,4.5,1.5,5.5,12.0,18.5
17908,6.5,4.5,1.5,6.5,15.0,19.0
17909,7.0,6.0,2.0,8.0,22.0,23.0
17910,7.0,5.5,1.5,7.0,1.0,21.0
17911,5.5,5.0,1.5,6.0,10.0,18.0
17912,7.5,6.0,3.0,7.5,20.0,24.0
17913,7.5,5.5,3.0,7.0,1.0,23.0
17914,7.5,5.5,2.5,6.0,13.0,21.5
17915,5.5,4.5,3.0,7.5,26.0,20.5
17916,7.0,4.0,2.0,7.5,23.0,20.5
17917,5.5,5.5,2.5,4.5,24.0,18.0
17919,7.0,5.0,3.0,7.0,23.0,22.0
17920,5.5,4.5,2.0,5.5,22.0,17.5
17921,6.0,5.0,2.0,5.0,20.0,18.0
17922,5.5,4.5,2.0,6.0,15.0,18.0
17923,5.5,6.0,2.0,7.0,27.0,20.5
17924,6.5,5.0,1.5,8.0,4.0,21.0
17925,6.5,4.0,3.0,5.5,2.0,19.0
17926,5.5,4.5,2.0,6.5,5.0,18.5
17927,6.0,5.0,3.0,7.5,9.0,21.5
17928,6.5,6.0,2.0,5.5,27.0,20.0
17929,7.0,6.0,2.5,8.0,13.0,23.5
17930,7.0,5.0,1.5,5.5,18.0,19.0
17931,7.5,4.0,2.0,5.5,1.0,19.0
17932,6.0,5.5,2.5,5.0,27.0,19.0
17933,7.0,4.0,1.5,8.0,22.0,20.5
17934,6.0,4.0,2.5,5.5,16.0,18.0
17935,6.0,5.0,2.5,5.0,4.0,18.5
17936,5.5,5.0,2.0,6.0,5.0,18.5
17937,6.0,5.5,2.5,7.5,10.0,21.5
17938,7.0,4.0,2.5,4.5,8.0,18.0
17939,6.5,4.0,1.5,5.5,18.0,17.5
17940,7.0,6.0,1.5,4.5,16.0,19.0
17941,6.0,6.0,2.0,7.0,25.0,21.0
17942,7.5,4.5,2.0,7.5,6.0,21.5
17943,6.0,4.0,2.5,5.5,0.0,18.0
17944,8.0,6.0,2.5,7.5,3.0,24.0
17945,7.0,5.5,1.5,5.0,21.0,19.0
17946,5.5,4.5,2.0,6.5,11.0,18.5
17947,7.5,4.5,2.5,6.0,7.0,20.5
17948,5.5,4.5,3.0,4.5,16.0,17.5
17949,6.0,4.5,2.0,5.0,23.0,17.5
17950,5.5,4.0,1.5,6.0,22.0,17.0
17951,5.5,6.0,2.0,4.5,0.0,18.0
17952,7.0,6.0,2.0,6.0,10.0,21.0
17953,6.5,4.0,2.5,6.0,21.0,19.0
17954,6.5,6.0,2.0,7.5,22.0,22.0
17955,8.0,5.5,2.0,5.5,20.0,21.0
17956,8.0,4.5,3.0,6.5,16.0,22.0
17957,6.0,5.5,3.0,5.5,16.0,20.0
17958,6.0,6.0,2.5,6.5,19.0,21.0
17959,8.0,4.5,1.5,4.5,12.0,18.5
17960,8.0,5.0,3.0,7.0,12.0,23.0
17961,6.5,4.0,2.0,7.5,6.0,20.0
17962,6.5,5.0,2.0,6.5,27.0,20.0
17963,6.0,4.0,2.0,4.5,8.0,16.5
17964,6.0,5.0,1.5,6.5,4.0,19.0
17965,6.5,6.0,2.5,7.5,21.0,22.5
17966,7.5,5.0,2.5,6.5,10.0,21.5
17967,7.0,5.0,1.5,7.0,6.0,20.5
17968,8.0,4.5,2.5,5.5,1.0,20.5
17969,7.0,5.5,1.5,7.5,8.0,21.5
17970,6.0,6.0,2.0,5.0,10.0,19.0
17971,8.0,5.0,3.0,6.5,21.0,22.5
17972,6.0,4.5,2.5,5.0,20.0,18.0
17973,5.5,4.5,3.0,7.5,1.0,20.5
17974,6.5,5.0,1.5,6.5,3.0,19.5
17975,6.5,6.0,2.5,4.5,11.0,19.5
17976,7.5,5.0,1.5,6.0,0.0,20.0
17977,5.5,5.5,3.0,4.5,20.0,18.5
17978,5.5,5.0,2.0,5.0,20.0,17.5
17979,7.0,4.0,1.5,6.5,25.0,19.0
17980,7.0,4.5,1.5,5.0,27.0,18.0
17981,8.0,5.5,3.0,4.5,18.0,21.0
17982,5.5,5.0,1.5,4.5,14.0,16.5
17983,6.0,4.5,3.0,7.5,25.0,21.0
17984,5.5,5.5,1.5,7.5,6.0,20.0
17985,8.0,6.0,2.5,5.0,6.0,21.5
17986,7.5,4.5,1.5,5.0,24.0,18.5
17987,8.0,4.5,3.0,6.0,25.0,21.5
17988,8.0,5.0,1.5,8.0,11.0,22.5
17989,7.5,5.0,2.5,5.0,22.0,20.0
17990,7.5,5.0,2.5,7.0,3.0,22.0
17991,7.0,5.0,3.0,4.5,14.0,19.5
17992,6.0,4.5,1.5,6.0,19.0,18.0
17993,8.0,6.0,2.5,6.5,10.0,23.0
17994,6.0,6.0,3.0,7.0,16.0,22.0
17995,7.5,6.0,2.0,5.5,3.0,21.0
17996,7.0,5.5,1.5,6.5,16.0,20.5
17997,8.0,6.0,3.0,4.5,8.0,21.5
17998,8.0,5.0,2.0,6.0,20.0,21.0
17999,7.5,4.5,3.0,5.5,26.0,20.5
18000,7.5,5.5,2.5,5.0,14.0,20.5
18001,6.5,5.0,2.0,7.5,8.0,21.0
18002,6.0,5.5,3.0,6.0,18.0,20.5
18003,7.5,5.5,2.5,6.0,3.0,21.5
18004,7.5,5.0,1.5,7.5,17.0,21.5
18005,7.5,4.5,1.5,5.0,19.0,18.5
18006,6.5,5.5,2.0,4.5,19.0,18.5
18007,5.5,4.0,1.5,4.5,10.0,15.5
18008,8.0,6.0,3.0,7.0,6.0,24.0
18009,6.5,4.0,1.5,7.0,5.0,19.0
18010,7.0,6.0,2.5,5.0,8.0,20.5
18011,8.0,5.5,2.5,5.0,4.0,21.0
18012,5.5,4.5,2.5,8.0,6.0,20.5
18013,6.0,4.0,2.5,7.5,11.0,20.0
18014,6.5,4.5,2.0,7.5,1.0,20.5
18015,6.5,5.5,3.0,7.5,19.0,22.5
18016,5.5,4.5,2.0,4.5,8.0,16.5
18017,6.5,6.0,2.5,6.5,18.0,21.5
18018,7.0,4.0,2.0,7.5,25.0,20.5
18019,7.5,4.0,3.0,5.5,22.0,20.0
18020,7.5,4.5,2.0,7.0,18.0,21.0
18021,6.5,4.5,2.0,7.5,5.0,20.5
18022,7.5,4.0,2.0,4.5,1.0,18.0
18023,8.0,6.0,3.0,4.5,23.0,21.5
18024,6.0,5.5,2.5,8.0,15.0,22.0
18025,8.0,6.0,3.0,5.5,6.0,22.5
18026,7.0,5.5,2.0,6.5,17.0,21.0
18027,8.0,5.0,2.0,6.0,14.0,21.0
18028,7.0,4.5,1.5,6.5,22.0,19.5
18029,8.0,6.0,3.0,4.5,15.0,21.5
18030,8.0,5.0,3.0,7.5,24.0,23.5
18031,6.5,6.0,1.5,7.0,7.0,21.0
18032,6.0,5.5,2.5,5.5,3.0,19.5
18033,8.0,4.5,2.5,7.5,6.0,22.5
18034,7.0,4.5,2.5,4.5,14.0,18.5
18035,7.5,5.0,2.5,5.0,21.0,20.0
18036,6.5,6.0,2.5,8.0,25.0,23.0
18037,6.5,5.0,2.5,6.0,7.0,20.0
18038,7.0,4.0,2.0,4.5,21.0,17.5
18039,6.5,6.0,2.5,6.5,11.0,21.5
18040,6.0,4.5,2.5,7.0,0.0,20.0
18041,5.5,4.5,2.0,7.5,11.0,19.5
18042,6.0,4.5,1.5,6.0,6.0,18.0
18043,6.5,5.0,2.5,8.0,25.0,22.0
18044,5.5,5.0,3.0,5.5,27.0,19.0
18045,6.0,5.5,2.0,6.5,17.0,20.0
18046,7.0,6.0,3.0,5.5,4.0,21.5
18047,5.5,6.0,3.0,6.0,5.0,20.5
18048,6.5,5.0,3.0,8.0,16.0,22.5
18049,8.0,6.0,3.0,8.0,21.0,25.0
18050,5.5,5.0,1.5,7.5,19.0,19.5
18051,7.0,5.0,2.5,5.5,13.0,20.0
18052,8.0,4.0,3.0,6.5,17.0,21.5
18053,6.5,6.0,3.0,6.5,23.0,22.0
18054,7.0,6.0,2.0,4.5,22.0,19.5
18055,6.0,6.0,3.0,8.0,1.0,23.0
18056,5.5,4.5,1.5,6.0,26.0,17.5
18057,7.5,4.0,2.0,8.0,4.0,21.5
18058,7.0,5.5,3.0,7.5,18.0,23.0
18059,6.5,5.0,2.0,8.0,10.0,21.5
18060,6.0,4.5,1.5,7.5,7.0,19.5
18061,7.5,4.0,2.5,8.0,2.0,22.0
18062,6.0,5.5,2.5,6.5,0.0,20.5
18063,7.5,5.0,2.0,7.0,17.0,21.5
18064,5.5,5.0,2.5,5.5,12.0,18.5
18065,7.5,4.0,2.0,8.0,6.0,21.5
18066,6.0,4.0,2.0,8.0,20.0,20.0
18067,8.0,4.0,2.0,6.5,2.0,20.5
18068,7.0,4.0,1.5,7.0,6.0,19.5
18069,8.0,5.5,2.5,7.5,21.0,23.5
18070,6.5,4.0,2.5,6.5,11.0,19.5
18071,6.5,5.0,3.0,8.0,6.0,22.5
18072,6.5,6.0,2.5,8.0,1.0,23.0
18073,5.5,5.0,2.5,4.5,14.0,17.5
18074,8.0,5.5,2.0,5.0,10.0,20.5
18075,8.0,4.5,2.0,7.5,12.0,22.0
18076,5.5,5.0,2.5,6.5,3.0,19.5
18077,8.0,4.5,3.0,5.0,6.0,20.5
18078,8.0,4.5,2.0,7.0,2.0,21.5
18079,8.0,6.0,3.0,6.5,3.0,23.5
18080,6.0,5.0,2.0,7.5,5.0,20.5
18081,8.0,4.0,1.5,5.5,1.0,19.0
18082,7.5,4.0,3.0,7.5,25.0,22.0
18083,7.5,5.5,2.0,6.5,10.0,21.5
18084,7.0,6.0,3.0,6.5,16.0,22.5
18085,8.0,4.0,3.0,6.0,15.0,21.0
18086,7.0,5.5,2.0,4.5,1.0,19.0
18087,8.0,6.0,2.0,5.5,14.0,21.5
18088,6.5,4.0,2.5,5.5,2.0,18.5
18089,7.0,4.0,3.0,5.0,23.0,19.0
18090,5.5,4.5,2.5,7.5,1.0,20.0
18091,7.0,4.0,3.0,7.0,27.0,21.0
18092,7.5,6.0,2.5,5.0,23.0,21.0
18093,7.5,6.0,2.5,4.5,18.0,20.5
18094,7.5,4.5,3.0,5.0,5.0,20.0
18095,7.5,4.5,2.5,8.0,10.0,22.5
18096,7.5,5.5,2.5,8.0,12.0,23.5
18097,8.0,4.5,2.0,7.0,21.0,21.5
18098,8.0,5.0,1.5,8.0,25.0,22.5
18099,7.5,4.0,2.0,7.0,15.0,20.5
18100,7.0,6.0,1.5,6.5,10.0,21.0
18101,8.0,6.0,3.0,5.0,10.0,22.0
18102,6.0,4.5,3.0,4.5,13.0,18.0
18103,5.5,5.5,1.5,6.5,24.0,19.0
18104,8.0,4.0,2.0,5.5,14.0,19.5
18105,5.5,4.0,2.0,7.5,11.0,19.0
18106,7.0,5.5,1.5,6.0,11.0,20.0
18107,7.0,5.5,2.0,6.0,9.0,20.5
18108,8.0,4.5,2.5,6.5,14.0,21.5
18109,7.0,5.0,1.5,7.0,27.0,20.5
18110,7.0,5.0,2.0,8.0,8.0,22.0
18111,7.5,5.0,1.5,7.5,4.0,21.5
18112,7.0,4.0,1.5,6.0,19.0,18.5
18113,5.5,4.0,2.5,6.5,3.0,18.5
18114,6.0,4.5,2.5,7.0,6.0,20.0
18115,7.5,5.0,2.0,6.5,4.0,21.0
18116,6.0,6.0,2.5,5.0,9.0,19.5
18117,5.5,4.0,1.5,7.5,12.0,18.5
18118,5.5,5.0,2.5,7.5,23.0,20.5
18119,6.5,4.5,3.0,7.5,7.0,21.5
18120,6.5,4.5,3.0,6.5,27.0,20.5
18121,8.0,5.0,1.5,4.5,23.0,19.0
18122,6.0,4.0,2.0,7.5,21.0,19.5
18123,6.0,5.0,2.0,5.5,20.0,18.5
18124,7.5,6.0,3.0,5.5,9.0,22.0
18125,6.0,5.5,2.0,8.0,1.0,21.5
18126,8.0,4.5,2.0,6.5,22.0,21.0
18127,6.0,5.5,1.5,6.5,6.0,19.5
18128,7.5,5.0,1.5,4.5,17.0,18.5
18129,5.5,5.0,1.5,5.5,8.0,17.5
18130,6.5,5.0,2.5,8.0,27.0,22.0
18131,5.5,4.5,1.5,8.0,26.0,19.5
18132,6.0,4.5,2.0,6.5,13.0,19.0
18133,7.0,5.5,1.5,6.5,20.0,20.5
18134,7.5,6.0,1.5,6.5,14.0,21.5
18135,6.5,5.5,2.0,5.0,11.0,19.0
18136,7.5,5.0,2.5,7.5,8.0,22.5
18137,7.0,4.0,1.5,6.0,19.0,18.5
18138,6.5,5.0,2.5,7.5,11.0,21.5
18139,8.0,5.0,1.5,6.0,12.0,20.5
18140,8.0,5.0,2.5,8.0,0.0,23.5
18141,6.5,5.5,2.0,8.0,16.0,22.0
18142,6.0,4.5,2.5,7.0,7.0,20.0
18143,7.5,5.5,2.0,8.0,21.0,23.0
18144,5.5,6.0,3.0,5.5,9.0,20.0
18145,7.5,5.5,3.0,4.5,25.0,20.5
18146,7.5,5.5,2.0,7.5,21.0,22.5
18147,7.5,5.0,1.5,7.0,21.0,21.0
18148,6.0,4.5,3.0,8.0,2.0,21.5
18149,8.0,6.0,2.0,6.0,14.0,22.0
18150,6.5,4.5,2.0,6.0,0.0,19.0
18151,7.0,5.0,2.0,7.5,6.0,21.5
18152,6.0,5.5,2.0,6.0,26.0,19.5
18153,5.5,5.5,2.0,7.5,22.0,20.5
18154,6.5,4.0,2.0,4.5,0.0,17.0
18155,7.0,5.0,1.5,6.0,2.0,19.5
18156,6.0,4.0,1.5,5.5,23.0,17.0
18157,6.5,6.0,2.5,8.0,20.0,23.0
18158,7.0,5.5,2.5,7.5,16.0,22.5
18159,7.0,5.0,3.0,6.5,13.0,21.5
18160,5.5,6.0,2.5,6.0,16.0,20.0
