MAS_S,MAS_O,MAS_D,MAS_M,PD
7.48,5.98,2.6100000000000003,7.37,16
7.720000000000001,5.35,2.2199999999999998,4.97,13
5.72,4.74,1.73,5.08,2
5.73,4.37,1.8900000000000001,6.22,0
6.22,4.4,2.4699999999999998,4.55,21
6.3100000000000005,5.68,1.81,5.71,5
7.66,5.58,2.21,7.41,1
7.0600000000000005,4.14,1.51,6.609999999999999,19
6.890000000000001,4.09,2.43,6.33,22
6.73,4.95,1.98,5.29,4
7.01,5.02,2.38,4.79,21
6.01,5.11,1.51,6.33,9
7.800000000000001,4.2,2.39,6.800000000000001,3
7.27,5.62,2.76,5.99,4
7.58,5.99,2.26,6.23,27
6.6899999999999995,5.01,2.56,5.84,22
7.18,5.75,1.8900000000000001,5.33,10
7.48,4.44,2.8200000000000003,5.14,25
7.41,4.54,2.3200000000000003,7.52,5
7.75,4.21,2.5700000000000003,7.48,13
7.54,4.0,2.44,6.6,9
5.79,5.27,2.99,7.42,21
6.63,4.61,2.24,7.83,25
6.8100000000000005,4.32,1.99,7.23,23
6.93,5.36,1.79,6.859999999999999,17
6.49,5.28,2.98,5.73,2
6.640000000000001,5.7,1.98,4.87,15
7.83,5.6,2.92,6.59,12
6.01,5.87,1.67,7.26,1
6.09,5.01,1.74,4.66,14
6.17,4.78,2.39,6.78,4
5.98,6.0,2.6500000000000004,5.1,20
7.6,4.07,1.52,7.62,3
7.59,4.39,2.34,7.53,6
7.48,4.25,1.9100000000000001,5.33,7
6.29,4.72,2.9299999999999997,7.96,0
7.66,4.6,1.75,5.95,13
6.04,5.97,1.76,5.11,5
6.38,5.8100000000000005,1.93,6.75,10
6.02,5.9,1.7,5.09,24
6.77,5.32,2.19,6.51,3
5.6,4.21,2.79,7.02,2
7.42,4.22,2.6799999999999997,7.46,8
6.43,5.9,2.6,5.05,12
7.38,5.51,2.55,4.93,21
7.62,4.18,2.27,5.23,24
5.92,4.5600000000000005,1.59,6.21,7
5.65,4.43,1.5,5.68,14
7.79,4.57,2.1,5.93,27
7.48,4.32,2.18,7.71,15
7.970000000000001,4.43,2.6,5.4,8
6.02,4.3,2.54,7.27,18
6.78,5.26,1.98,5.7,12
7.22,5.140000000000001,2.36,6.390000000000001,17
5.96,4.29,2.44,6.73,18
7.47,5.87,2.2800000000000002,6.55,22
6.5600000000000005,4.7,1.81,7.09,19
6.66,5.84,2.9000000000000004,5.41,13
7.6,5.24,2.75,5.37,21
5.57,5.3100000000000005,2.76,5.46,1
6.66,4.88,2.6500000000000004,5.08,19
7.74,4.17,2.73,7.91,13
6.9,4.35,1.6400000000000001,5.61,7
6.96,4.59,2.29,5.11,27
6.18,5.02,1.9100000000000001,7.03,14
7.87,4.3,2.62,5.35,25
6.3,5.47,2.24,7.32,10
7.4,5.1899999999999995,2.94,6.76,16
6.14,5.28,1.75,5.37,5
6.88,4.59,1.81,7.59,6
6.12,4.3,1.77,6.82,21
6.97,4.71,1.72,6.640000000000001,8
6.8100000000000005,4.72,2.36,4.88,22
6.47,4.92,2.29,5.2,7
5.57,5.45,2.7199999999999998,6.87,8
7.43,4.95,2.35,7.609999999999999,23
6.79,5.9399999999999995,2.24,5.0,14
6.14,4.33,2.6100000000000003,5.92,20
5.99,5.87,1.93,4.53,14
6.76,4.66,2.2,7.91,25
7.9,5.34,1.74,7.3100000000000005,14
5.55,4.33,2.7800000000000002,7.550000000000001,11
7.54,5.48,2.0300000000000002,7.23,19
6.37,5.3100000000000005,2.16,5.66,25
6.16,5.92,2.15,6.02,10
7.51,5.13,2.79,7.74,8
5.6,4.24,1.99,6.55,14
6.49,5.79,1.63,8.0,24
7.7,5.27,2.27,4.83,23
7.46,5.93,2.02,4.56,1
6.39,4.26,2.1,6.78,26
5.62,4.34,2.17,5.75,24
6.83,5.08,2.87,5.1,4
7.53,4.61,2.25,7.29,15
7.34,4.48,2.12,5.12,17
6.21,4.57,2.14,7.21,4
6.85,4.03,2.52,4.78,4
7.95,5.47,2.2,6.76,12
7.05,5.86,2.4699999999999998,7.62,7
6.32,5.54,2.26,5.72,27
7.9,4.33,1.53,7.37,5
5.76,5.63,1.57,5.24,4
5.68,4.46,2.01,5.46,22
7.1,5.84,2.7199999999999998,4.78,8
5.53,5.47,2.52,4.8,17
7.890000000000001,4.97,2.52,6.640000000000001,3
6.11,4.45,1.98,7.13,11
5.72,5.640000000000001,1.63,6.1,25
5.74,5.3100000000000005,2.14,5.13,5
6.5600000000000005,5.03,1.78,6.37,9
7.79,5.13,2.46,5.49,15
7.88,4.69,1.95,4.66,25
7.67,4.32,2.44,5.32,5
6.71,4.24,2.75,6.640000000000001,3
6.4,4.13,1.51,6.609999999999999,4
6.88,4.35,1.74,7.59,24
6.91,5.25,2.55,4.76,2
7.18,5.54,2.77,7.5,27
7.58,4.63,2.71,5.6,7
6.71,5.35,2.9000000000000004,5.8,5
7.609999999999999,4.24,2.21,4.79,7
7.91,5.390000000000001,2.45,7.970000000000001,17
5.85,4.05,1.7,5.16,24
7.84,4.0,1.58,4.5,23
6.0,5.82,2.5700000000000003,7.890000000000001,10
6.37,5.83,2.58,6.57,7
6.76,4.75,1.68,6.1,9
7.98,4.31,2.69,4.88,24
7.33,5.09,2.85,6.6,14
7.75,4.83,2.59,5.84,4
5.74,5.1899999999999995,1.8,6.47,26
7.41,5.29,2.69,7.859999999999999,15
5.53,4.57,2.42,7.43,6
5.94,4.92,2.79,5.72,2
7.26,4.58,2.38,5.17,24
5.67,5.96,1.99,7.58,25
6.41,5.83,2.66,5.96,2
6.45,4.04,1.65,5.7,16
6.73,5.21,2.33,7.07,12
6.68,4.23,2.2199999999999998,6.85,24
7.35,5.7,1.65,5.88,4
7.38,5.04,2.94,4.84,9
5.55,4.83,1.7,5.29,0
7.87,4.12,2.48,7.41,14
6.68,5.02,2.05,7.9,22
7.02,4.25,2.21,7.83,10
7.33,4.74,2.91,7.050000000000001,14
6.26,5.76,2.91,7.8100000000000005,19
6.46,4.45,2.21,4.54,4
6.47,5.9,2.5300000000000002,7.46,9
7.11,5.76,2.94,6.96,11
6.38,5.41,1.97,6.02,21
7.6899999999999995,4.34,2.23,4.87,6
5.91,5.82,1.96,7.4,22
6.61,4.99,2.36,6.1,8
7.54,5.25,2.55,7.32,8
7.140000000000001,4.46,2.0300000000000002,4.5,15
5.74,4.65,1.52,6.87,1
6.08,5.96,2.49,6.12,3
5.83,4.13,2.27,5.44,11
6.07,5.95,2.9000000000000004,6.93,5
5.98,4.3,2.99,7.29,13
7.82,4.22,2.54,4.67,11
5.99,5.640000000000001,2.83,5.08,18
7.03,5.86,2.42,5.14,13
7.609999999999999,5.48,2.6100000000000003,7.53,18
6.44,4.07,2.96,7.07,21
7.640000000000001,5.88,2.5,6.02,19
6.77,5.67,2.11,5.46,6
5.88,5.28,2.94,7.29,25
6.45,5.99,1.51,5.38,13
7.17,5.2,2.46,7.48,16
6.22,4.03,2.33,6.5600000000000005,24
7.98,4.94,2.71,5.73,16
6.76,4.18,2.4,5.84,20
6.9399999999999995,4.77,1.99,6.41,7
7.4,4.21,2.5,4.71,1
5.74,4.11,1.55,5.76,8
5.75,5.52,2.8600000000000003,6.04,20
7.62,4.18,2.0300000000000002,6.68,18
5.65,4.41,1.9,7.21,9
7.99,4.53,1.61,5.6899999999999995,6
6.8100000000000005,5.84,1.9100000000000001,5.95,5
7.9,5.99,2.8200000000000003,7.09,24
6.23,4.12,2.2800000000000002,6.12,20
7.98,5.42,2.6100000000000003,5.61,13
7.88,4.44,2.71,6.2,19
6.66,5.96,2.92,6.45,13
7.07,5.53,2.23,7.890000000000001,6
6.79,5.07,1.8,6.0600000000000005,14
6.19,4.78,1.9,5.7,15
5.84,5.38,2.35,7.3100000000000005,8
7.84,5.0,1.67,7.21,19
5.64,5.640000000000001,1.87,7.720000000000001,23
7.76,5.73,2.62,7.15,24
6.29,5.29,1.87,5.12,21
6.91,5.73,1.57,7.87,11
7.27,4.34,1.95,7.78,27
5.94,4.27,2.36,5.71,8
7.29,5.29,2.95,5.61,4
7.3100000000000005,5.53,2.69,5.37,0
7.99,4.58,1.9,7.0600000000000005,13
6.8,5.43,2.88,5.38,24
6.28,4.18,2.21,7.49,21
6.35,4.42,1.95,6.0,1
5.69,5.98,1.9,6.65,17
7.859999999999999,4.66,1.58,6.08,2
6.99,4.12,2.66,7.21,26
6.58,4.41,2.11,4.94,20
7.07,5.5,1.54,5.17,16
7.46,5.62,1.75,5.83,10
7.16,5.98,1.52,5.66,14
7.78,5.49,2.6799999999999997,6.62,7
7.62,4.95,2.81,6.98,5
7.29,5.2,2.89,5.52,15
6.92,5.22,2.21,6.05,22
7.609999999999999,5.6,1.56,5.3100000000000005,5
7.4,4.08,1.76,7.4,19
5.87,4.44,2.46,4.98,19
6.45,4.41,1.66,4.75,16
7.73,4.88,2.01,6.67,7
6.9,5.26,1.63,7.17,1
6.25,4.62,2.96,5.37,9
7.98,5.33,2.21,7.87,3
7.02,4.19,1.59,6.49,24
7.24,5.6899999999999995,2.5700000000000003,6.3100000000000005,5
5.87,5.93,1.93,7.16,0
6.15,4.36,1.5,7.49,19
7.92,4.93,1.75,6.42,12
7.91,4.53,2.41,6.43,8
6.93,5.0600000000000005,1.76,5.42,11
6.7,4.33,2.67,7.140000000000001,1
5.97,4.5,1.92,7.550000000000001,13
6.49,5.71,2.85,6.859999999999999,4
7.390000000000001,4.53,2.89,5.43,7
7.1899999999999995,5.28,1.94,5.43,16
5.98,4.21,2.83,7.32,25
7.55,4.6,2.05,5.59,10
7.87,5.85,1.71,7.07,12
5.71,4.23,2.52,4.94,21
7.07,5.17,2.2800000000000002,5.51,18
7.890000000000001,5.5,2.77,5.0,25
6.92,4.96,2.46,6.52,12
5.97,4.03,1.54,6.640000000000001,19
6.52,4.73,2.88,6.92,3
6.79,4.87,1.93,7.26,8
6.35,4.27,2.24,6.52,27
6.39,5.83,2.15,7.1899999999999995,10
7.35,5.24,2.0700000000000003,6.25,3
5.78,5.67,1.56,5.15,19
7.63,4.22,2.33,7.33,10
5.99,5.76,2.33,6.27,15
7.07,4.32,2.91,6.0,27
5.71,5.18,1.5,6.03,13
6.78,5.62,2.49,5.48,9
6.35,5.72,2.9000000000000004,5.9399999999999995,16
7.859999999999999,4.62,2.09,5.2,16
5.57,5.12,1.55,5.28,20
6.72,4.09,2.81,6.91,22
7.37,4.52,2.74,6.02,6
7.54,5.9399999999999995,1.54,7.42,1
7.13,5.6899999999999995,1.6400000000000001,5.26,6
7.77,4.03,1.51,5.85,16
7.27,4.93,2.54,6.12,4
6.3,4.68,2.19,5.86,26
7.73,4.31,2.08,6.71,13
7.93,4.66,2.41,7.58,27
6.77,4.21,1.6,4.85,27
6.27,4.61,2.6,7.390000000000001,24
5.85,4.78,2.43,5.38,9
6.45,5.82,2.76,6.0600000000000005,9
6.33,4.13,1.74,4.98,25
6.28,5.33,1.58,6.02,26
6.59,4.32,2.89,7.98,9
6.52,5.13,2.8200000000000003,5.28,10
7.63,4.71,1.56,6.85,5
6.63,4.45,1.5,7.1,21
7.91,5.640000000000001,2.6,6.93,20
5.88,5.02,2.43,6.52,22
5.81,4.48,1.61,5.13,8
5.54,4.59,2.0,5.4,24
5.6,4.6,2.7800000000000002,6.859999999999999,7
5.93,4.75,2.14,6.82,3
6.39,4.64,2.49,7.82,9
7.35,4.5,1.71,7.24,3
7.76,5.0,2.64,6.82,10
6.41,5.66,2.58,7.48,5
6.85,4.29,2.33,4.81,21
7.5,4.15,2.26,4.76,12
5.86,4.63,2.17,6.43,16
6.35,5.02,1.62,5.07,12
7.85,5.0,2.1,7.29,14
6.87,5.93,2.85,7.65,15
5.8,5.05,2.41,6.95,11
6.36,5.46,2.0700000000000003,7.12,21
6.6,5.5,1.69,5.73,27
7.74,4.88,1.52,4.64,16
5.81,4.26,1.74,6.15,20
7.03,5.53,2.59,7.63,26
7.99,4.16,2.54,5.6,24
5.74,5.17,2.41,5.44,11
8.0,4.8100000000000005,2.4,7.33,14
6.09,5.79,2.92,7.67,0
7.05,5.0600000000000005,2.75,7.9399999999999995,12
6.73,4.23,1.88,5.41,2
7.66,5.1,2.26,7.46,13
7.28,5.390000000000001,2.54,5.9,18
6.890000000000001,4.78,1.88,6.32,21
6.85,4.05,2.15,4.53,11
7.1899999999999995,4.27,2.39,5.38,14
7.41,5.86,2.0300000000000002,7.5,24
7.67,5.83,2.44,5.0,27
5.63,4.25,2.24,5.42,0
6.13,5.32,1.51,7.99,8
7.21,5.2,2.5700000000000003,5.8,2
6.87,5.33,1.69,6.11,16
7.07,5.83,2.23,6.08,3
5.85,5.97,2.7800000000000002,4.6,2
6.25,5.93,2.3200000000000003,6.68,9
7.859999999999999,4.2,1.6,6.46,24
5.55,5.42,2.85,5.4,2
6.15,5.78,2.99,5.95,18
6.02,4.21,2.12,5.71,2
7.21,4.29,2.7800000000000002,7.23,18
6.28,5.43,2.33,5.37,16
7.79,4.46,2.2800000000000002,6.85,13
6.7,5.21,1.52,5.77,16
6.63,5.79,2.89,7.220000000000001,21
5.9,5.79,2.1,6.57,8
5.69,5.01,2.48,5.16,14
7.45,4.61,1.79,7.91,23
6.67,5.93,2.14,6.24,7
7.84,5.13,2.2800000000000002,7.99,20
6.8,5.96,2.94,6.2,2
7.51,4.03,1.94,5.03,20
5.66,4.55,1.54,4.59,15
6.1,5.1,2.35,5.08,0
5.51,5.640000000000001,1.9100000000000001,5.9,10
5.88,5.11,2.52,6.18,8
7.47,5.84,2.13,7.2,24
6.57,4.38,2.84,6.390000000000001,12
6.58,4.45,1.93,7.84,23
6.02,4.96,1.72,4.7,5
6.88,5.24,2.95,5.99,21
5.53,5.3,2.2800000000000002,5.68,26
7.26,4.19,2.84,7.87,11
7.609999999999999,4.22,2.88,6.74,8
7.51,4.96,2.76,7.45,14
7.36,4.07,2.0,7.25,25
5.84,4.69,1.99,7.51,23
6.62,4.95,1.6400000000000001,5.16,0
6.01,5.43,2.3200000000000003,7.03,22
7.28,5.09,2.36,7.62,25
5.97,5.74,2.09,6.15,20
7.41,5.59,3.0,7.24,6
6.93,5.52,1.87,6.78,19
7.75,5.88,2.51,5.4,7
5.67,4.66,2.77,6.42,18
5.78,4.73,2.5300000000000002,7.4,4
6.41,4.63,3.0,7.16,21
5.9,4.97,2.33,4.59,23
5.76,5.78,2.6100000000000003,4.9,17
7.08,5.04,1.97,4.83,4
7.24,5.03,1.94,4.65,12
6.62,5.83,1.76,4.7,14
7.73,5.05,2.4,7.29,21
6.04,4.58,2.16,5.59,17
6.54,4.36,2.2800000000000002,7.970000000000001,6
6.48,5.3,1.57,6.45,6
6.63,4.34,2.51,7.6,27
7.77,4.01,2.88,6.1,16
6.890000000000001,4.14,2.71,5.77,10
7.62,4.44,1.81,6.4,20
7.55,5.5,2.31,7.92,24
6.74,4.59,2.7,6.32,12
5.71,4.46,2.14,6.35,3
6.51,5.82,2.09,7.65,14
5.85,5.17,2.6,5.6,0
6.48,4.71,2.13,7.77,5
6.7,4.35,2.54,6.23,23
6.38,5.91,2.43,7.73,11
5.89,4.9,2.43,7.03,11
6.1,5.43,1.63,7.470000000000001,4
7.58,5.38,1.92,4.58,13
7.33,5.390000000000001,2.04,5.74,9
6.55,4.88,2.89,4.97,9
6.88,5.97,1.88,7.95,20
7.15,4.75,2.4,6.1899999999999995,19
6.51,5.24,2.16,6.720000000000001,4
7.29,5.140000000000001,2.74,7.6899999999999995,20
6.0,4.65,1.79,5.3100000000000005,13
6.97,4.06,2.24,7.23,24
7.29,4.16,1.87,7.02,20
6.2,4.5,1.63,5.59,9
5.63,5.35,2.02,6.75,0
5.91,5.67,2.8600000000000003,7.83,10
7.67,4.85,2.14,6.12,26
6.14,4.02,2.64,5.01,10
7.4399999999999995,5.24,1.54,7.0600000000000005,24
5.78,4.65,2.02,4.59,24
5.6,4.29,2.48,5.95,5
7.43,5.96,2.48,6.16,13
6.18,5.34,2.63,4.7,15
6.15,5.28,2.46,4.85,22
7.63,5.62,2.98,5.33,10
7.62,5.68,2.26,6.75,25
7.77,5.6899999999999995,1.53,7.9399999999999995,4
6.43,5.05,2.39,5.3,12
6.36,4.5600000000000005,1.6400000000000001,7.93,21
6.03,4.09,1.69,5.26,19
6.49,4.07,1.73,5.66,26
7.79,4.45,1.53,6.33,3
6.07,5.95,2.5300000000000002,6.59,0
6.41,5.68,1.58,5.75,1
5.68,4.98,2.0700000000000003,7.050000000000001,18
6.26,4.9,2.7800000000000002,4.87,5
6.38,4.97,1.67,6.84,10
7.33,4.28,1.94,7.66,23
6.68,4.51,2.05,5.640000000000001,23
6.7,4.54,1.99,4.57,17
7.36,5.640000000000001,1.77,5.09,25
6.58,5.58,2.9299999999999997,4.52,19
7.8100000000000005,5.68,1.68,5.42,1
7.67,4.05,1.52,7.96,18
7.720000000000001,5.07,2.85,7.34,18
7.91,4.23,1.97,6.7,18
6.46,5.140000000000001,2.51,5.5,1
5.88,4.1,2.55,4.5,5
7.09,5.78,2.23,5.67,5
7.4399999999999995,4.2,1.71,7.5600000000000005,24
7.04,5.48,2.26,7.2,6
7.0600000000000005,5.5600000000000005,2.29,5.48,23
7.5600000000000005,5.84,2.9000000000000004,7.66,13
6.72,4.7,2.21,7.01,12
6.22,4.7,1.71,5.5600000000000005,17
6.13,4.37,2.39,6.63,2
6.78,5.640000000000001,2.88,6.68,27
6.78,5.82,1.8599999999999999,6.17,16
5.99,4.71,2.67,7.03,9
7.08,4.39,1.72,6.74,22
7.15,4.53,1.77,7.82,10
5.78,4.77,2.2199999999999998,6.93,14
6.78,4.3,1.9,5.49,0
5.62,4.45,2.64,5.88,20
7.68,4.2,2.84,6.3100000000000005,23
6.21,5.82,1.52,6.35,10
7.890000000000001,4.37,1.74,5.72,8
5.98,5.03,2.87,6.55,5
7.52,5.29,2.33,7.9399999999999995,27
5.55,5.83,2.73,4.55,9
6.79,4.72,2.54,6.73,23
7.49,4.34,1.57,5.98,17
7.92,5.05,2.8,5.85,1
7.73,5.87,1.6400000000000001,5.41,18
6.19,4.06,2.81,5.2,0
7.27,5.58,1.81,5.24,4
6.53,4.21,1.55,6.83,14
6.77,4.55,2.95,6.46,27
5.8,4.36,1.82,6.23,27
5.86,5.79,1.98,5.82,4
7.62,5.08,1.94,6.05,13
5.78,4.98,1.72,5.0600000000000005,20
6.92,5.09,1.87,7.43,24
6.41,4.5,1.84,7.4399999999999995,7
6.67,5.93,2.13,7.51,20
6.37,4.34,2.66,5.74,14
5.85,5.0,2.52,6.4,20
6.62,4.97,1.65,6.3100000000000005,21
6.77,4.33,2.79,7.67,19
6.25,5.05,1.57,7.359999999999999,16
7.5600000000000005,4.16,2.24,5.28,5
6.640000000000001,5.38,2.55,4.81,4
5.51,5.02,1.53,5.2,17
5.88,4.94,1.58,7.050000000000001,14
5.69,5.28,2.75,6.47,13
7.890000000000001,5.02,2.2,6.02,18
5.94,4.5600000000000005,2.4699999999999998,5.17,10
5.75,4.45,2.26,7.07,20
6.86,4.95,2.84,6.9,6
6.67,5.5,2.25,4.79,21
6.13,4.69,1.66,5.44,5
6.58,4.99,2.52,5.34,14
6.13,4.28,2.9000000000000004,6.4399999999999995,25
6.87,5.74,2.29,7.48,19
7.46,5.47,1.57,7.62,17
6.6,4.66,2.2,7.0600000000000005,19
6.91,5.08,2.76,4.7,9
6.38,4.2,1.6,5.98,13
5.91,5.1899999999999995,1.76,7.99,5
6.91,4.28,2.27,7.29,24
5.88,5.75,1.81,6.720000000000001,23
6.62,4.91,2.5,4.59,21
7.25,5.49,2.64,6.6,6
6.08,5.86,2.33,5.77,18
5.57,5.8100000000000005,1.7,7.01,9
6.04,5.99,2.16,7.17,17
7.67,4.49,2.38,5.73,1
6.93,5.37,1.9,4.89,19
7.17,5.62,2.52,5.32,8
6.32,4.02,1.63,6.66,27
6.07,5.65,1.75,5.57,16
6.14,4.25,2.77,7.59,23
7.609999999999999,5.46,2.98,4.86,4
6.42,5.61,1.75,5.03,6
6.3100000000000005,4.54,2.45,5.28,0
5.84,5.79,1.99,5.0600000000000005,1
5.78,5.1,1.9100000000000001,4.8,5
5.69,5.87,1.55,6.16,0
7.02,5.66,2.02,6.17,12
7.66,4.74,2.35,4.84,11
6.6899999999999995,5.99,2.6500000000000004,7.62,10
6.09,4.52,2.04,7.66,25
6.2,5.73,2.46,4.78,20
7.12,4.03,2.63,7.4,13
7.07,4.96,1.9100000000000001,4.87,5
6.82,4.96,1.96,7.87,5
6.35,5.140000000000001,2.29,7.38,25
5.54,4.52,2.15,6.76,9
7.859999999999999,4.76,2.01,5.93,5
999.0,999.0,999.0,999.0,999
6.46,5.97,1.85,4.69,2
7.63,4.53,2.8600000000000003,6.35,16
7.73,5.140000000000001,2.17,5.21,22
6.21,4.52,2.11,7.85,13
6.32,4.73,1.79,4.91,5
7.720000000000001,5.49,1.8900000000000001,6.54,5
7.98,4.54,2.99,4.52,17
7.26,5.4399999999999995,2.2199999999999998,7.2,25
6.98,5.890000000000001,1.93,7.71,5
7.66,4.42,1.59,6.03,3
7.63,5.32,1.53,6.1899999999999995,21
5.56,4.91,2.6,4.82,24
5.89,4.26,1.97,6.29,23
5.91,4.79,1.9,6.0,6
7.95,4.5600000000000005,2.54,6.3,14
7.390000000000001,4.44,2.7199999999999998,7.76,6
7.41,5.79,1.58,6.21,25
7.71,4.91,1.9100000000000001,7.87,0
7.71,5.26,1.59,7.08,15
7.07,5.92,2.51,5.68,4
7.46,4.79,2.48,4.66,22
5.67,5.02,2.06,6.55,27
7.67,4.03,2.9000000000000004,4.66,10
5.74,5.97,1.58,7.52,19
7.87,4.79,2.49,6.34,11
6.01,4.78,1.67,6.87,19
5.68,4.76,2.91,5.79,24
7.3100000000000005,5.9,1.88,5.6,3
6.43,4.11,1.61,7.1899999999999995,5
5.51,4.41,2.37,6.859999999999999,20
6.65,5.29,2.17,5.19,24
6.77,4.14,2.12,6.59,25
6.1,5.99,1.51,6.17,25
6.97,4.72,2.41,7.98,3
6.03,4.52,2.48,4.75,4
6.26,5.8100000000000005,1.57,5.17,18
6.87,4.76,2.66,4.9,10
7.09,4.92,2.85,7.02,0
7.45,5.5,1.85,6.42,14
7.09,5.66,2.6500000000000004,6.91,7
6.0600000000000005,5.29,2.36,6.970000000000001,20
7.5600000000000005,5.75,2.52,5.890000000000001,22
6.47,5.99,1.51,7.050000000000001,9
6.38,4.92,2.43,5.51,22
6.07,5.58,2.55,6.27,21
5.91,5.4,1.6400000000000001,7.890000000000001,17
6.49,4.48,2.9000000000000004,6.07,11
7.82,5.03,2.27,5.0,4
7.29,4.82,2.29,4.68,25
5.79,5.51,2.25,6.140000000000001,24
7.12,4.52,2.51,5.25,17
7.2,4.05,2.36,7.050000000000001,17
6.26,4.35,1.85,6.6899999999999995,1
6.49,4.7,2.21,4.74,18
7.95,4.18,2.14,4.62,18
5.95,4.91,1.92,5.16,18
7.0,5.29,2.48,7.9,2
6.79,5.640000000000001,2.96,5.22,18
6.5,4.5,2.7800000000000002,5.68,13
7.73,5.43,1.72,7.13,20
6.75,5.34,2.81,7.66,8
7.21,4.53,1.97,7.359999999999999,2
6.0600000000000005,5.24,2.96,4.82,0
7.83,5.9,1.68,7.34,27
5.53,4.14,2.7199999999999998,6.27,8
7.720000000000001,5.25,1.96,6.6899999999999995,16
7.27,4.7,2.92,6.77,19
6.58,4.92,1.75,7.470000000000001,12
7.63,5.47,1.77,6.24,1
7.5,5.35,2.0,7.76,24
7.85,5.0,1.65,7.8100000000000005,10
7.23,4.18,2.62,6.38,3
7.05,4.8100000000000005,2.3200000000000003,6.16,9
7.0600000000000005,4.76,2.09,5.01,5
7.24,4.76,1.68,5.73,16
6.49,5.18,2.98,4.6,6
5.6,4.18,2.36,7.15,2
7.52,5.92,1.5,5.6,25
7.18,5.640000000000001,1.95,5.6,15
7.12,5.16,2.5700000000000003,5.17,13
6.34,4.96,1.94,5.96,20
6.75,5.0,2.0,4.57,12
6.92,5.52,1.68,7.96,6
6.6,4.88,1.55,6.38,12
6.01,4.97,2.7,5.61,22
7.09,5.63,2.0,4.85,20
5.72,5.68,1.65,7.37,20
6.71,5.04,2.7199999999999998,6.99,16
6.88,5.28,2.08,4.53,19
6.57,5.37,2.5,6.34,24
6.14,4.8,1.65,4.82,24
6.48,4.05,2.04,5.23,18
5.87,5.28,1.75,7.59,21
7.5,5.96,2.31,7.3100000000000005,17
6.04,5.65,2.92,7.85,12
6.19,5.17,2.3,5.32,12
7.32,4.34,2.16,4.59,12
6.83,5.7,2.99,4.53,8
7.63,4.68,2.5700000000000003,6.87,24
6.24,4.09,2.7199999999999998,7.95,8
7.48,5.78,2.2,7.26,13
7.62,4.39,1.79,6.76,8
8.0,5.4,2.21,7.51,2
7.12,5.29,1.8599999999999999,5.14,14
7.890000000000001,4.34,2.7800000000000002,5.53,19
5.88,4.5600000000000005,1.97,5.78,25
7.0,5.36,2.94,5.22,24
7.18,4.86,2.17,6.26,8
7.96,5.24,1.95,6.17,21
5.83,5.04,2.74,5.49,0
7.02,4.9,2.92,7.34,8
5.5,4.45,2.7199999999999998,7.04,6
7.720000000000001,4.91,1.57,6.59,27
6.45,4.19,1.6,7.28,1
6.23,4.62,2.5,4.7,19
6.16,4.64,1.88,7.21,20
6.38,4.47,2.96,5.79,14
5.68,4.37,2.95,6.0,11
7.42,5.03,1.77,6.75,22
5.93,5.54,2.39,4.71,7
5.63,4.96,1.92,7.74,7
5.73,5.76,2.2,4.83,0
7.36,5.76,1.51,7.26,22
6.25,5.16,2.0700000000000003,4.96,26
7.52,4.83,1.6,7.02,2
7.5600000000000005,5.05,2.14,5.9,11
7.0,4.99,2.84,6.57,2
7.65,4.63,2.23,7.9,23
6.52,4.73,2.88,6.22,25
6.88,4.94,2.51,4.89,22
6.66,5.74,2.18,5.52,20
5.74,5.23,2.66,6.28,19
7.67,4.12,1.83,5.44,12
5.59,4.11,2.5300000000000002,4.64,12
6.55,4.05,2.34,5.35,18
6.55,5.7,2.87,6.28,24
7.609999999999999,5.22,1.6400000000000001,7.140000000000001,22
7.27,4.42,2.62,7.16,16
6.12,4.86,1.66,6.73,20
7.58,5.1,1.8599999999999999,5.23,20
6.0600000000000005,5.13,2.5700000000000003,4.82,18
5.65,5.6,2.52,7.359999999999999,14
6.93,5.03,1.53,4.62,5
7.1899999999999995,4.86,2.3200000000000003,6.48,4
5.76,4.85,2.48,5.08,15
6.73,5.66,2.16,5.18,6
7.63,4.51,1.55,7.17,26
6.58,5.63,2.6,5.54,0
7.82,4.17,2.3,6.87,18
5.88,4.01,2.2,5.14,15
6.0600000000000005,5.9,2.42,6.68,0
7.67,5.92,2.34,6.800000000000001,17
6.97,5.52,2.6500000000000004,6.8100000000000005,18
6.39,4.79,2.2199999999999998,5.21,27
5.56,4.67,2.37,7.02,14
6.41,4.85,2.9699999999999998,5.14,21
7.01,4.04,2.44,6.68,27
6.76,5.92,2.6,4.63,0
6.35,5.2,2.1,5.26,24
7.720000000000001,5.1899999999999995,2.85,6.34,23
6.86,4.1,1.94,6.95,7
7.68,4.65,2.62,7.37,13
5.87,5.6899999999999995,2.66,5.43,23
7.5600000000000005,4.63,2.48,6.42,7
6.85,4.31,2.81,4.61,6
6.3100000000000005,5.9399999999999995,2.48,5.53,23
6.09,4.84,2.89,5.01,11
5.94,4.54,2.6100000000000003,7.23,21
5.68,5.36,2.16,7.4,1
7.17,4.94,2.55,6.65,17
7.78,5.11,1.62,4.89,8
5.56,5.41,1.97,4.74,15
6.23,5.4399999999999995,2.1,6.41,0
7.11,4.33,2.3,5.13,18
5.82,5.55,2.4,7.66,23
7.28,5.63,2.98,7.85,16
6.99,5.63,1.61,6.71,6
7.65,5.140000000000001,2.31,6.52,9
7.390000000000001,5.99,2.15,5.96,16
